"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Barber 353","5","13","25 Av. du Général de Gaulle","Pau",,"FR",,"","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Barber%20353&query_place_id=ChIJN4t9mR5JVg0R80Ie2M3yWw4","Salon de coiffure"
"Coiffure Mixte Joël Heyraud","4.8","67","24 Bd Tourasse","Pau",,"FR",,"+33 5 59 84 07 55","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Coiffure%20Mixte%20Jo%C3%ABl%20Heyraud&query_place_id=ChIJ_2IULvNIVg0RcQnV58WyOMs","Salon de coiffure"
"TOP KING Barbier PAU","5","61","4 Bd d'Alsace Lorraine","Pau",,"FR","https://www.planity.com/top-king-barbier-64000-pau","+33 5 24 89 38 19","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TOP%20KING%20Barbier%20PAU&query_place_id=ChIJ7_kPnfRJVg0RJ23NYw9fePI","Salon de coiffure"
"Centre capillaire Nathalie Antoun","4.8","49","27 Av. du Général de Gaulle","Pau",,"FR","https://www.centre-capillaire-antoun.fr/","+33 5 59 30 07 35","Salon de coiffure","Perruquier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Centre%20capillaire%20Nathalie%20Antoun&query_place_id=ChIJE3j2pMNIVg0RA_2v60DZH3c","Salon de coiffure"
"L'atelier d'Aurélie","4.8","37","56 Bd Tourasse","Pau",,"FR","http://www.planity.com/latelier-daurelie-64000-pau-pj1","+33 6 52 53 62 40","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=L'atelier%20d'Aur%C3%A9lie&query_place_id=ChIJQ9LcGZNIVg0Ro-oQl6TM3t0","Salon de coiffure"
"Edi'Coiff","4.4","67","40 Av. de Buros","Pau",,"FR","https://www.planity.com/edicoiff-64000-pau","+33 5 59 02 82 76","Salon de coiffure","Institut de beauté","Magasin de produits de beauté",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Edi'Coiff&query_place_id=ChIJ8QcNSOtIVg0Rov9ZMEMqLKo","Salon de coiffure"
"Le Catogan - Artisan Coiffeur","4.8","68","1 Rue Sambre et Meuse","Pau",,"FR","https://www.facebook.com/share/1BtTvDuqVn/?mibextid=wwXIfr","+33 5 59 02 96 28","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Le%20Catogan%20-%20Artisan%20Coiffeur&query_place_id=ChIJQzu3sV1IVg0Rf4FFbKWS_lo","Salon de coiffure"
"Beautiful barber shop","4.9","770","50 Av. de Buros","Pau",,"FR","https://beautifulbarbershop.com/","+33 6 58 37 13 95","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beautiful%20barber%20shop&query_place_id=ChIJYZMfC4lJVg0Rdpj0BaxGtnI","Salon de coiffure"
"La Boutique du Coiffeur","4.5","59","1 Av. du Général Leclerc CC Aushopping","Pau",,"FR","https://www.laboutiqueducoiffeur.com/fr-fr/m/pau-auchan-143?utm_campaign=gmb_com&utm_medium=seo&utm_source=google","+33 5 64 29 00 37","Magasin de produits de beauté","Magasin d'articles de coiffure pour hommes","Distributeur de produits de beauté","Magasin de cosmétiques","Boutique de santé et beauté",,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Boutique%20du%20Coiffeur&query_place_id=ChIJm6U7X4pJVg0Rcal91Mx_C9g","Magasin de produits de beauté"
"L'autre Salon Sarl","4.9","81","82 Rue Emile Guichenné","Pau",,"FR",,"+33 5 59 06 46 15","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=L'autre%20Salon%20Sarl&query_place_id=ChIJRyTMktFIVg0RGhbCxWSG1-s","Salon de coiffure"
"SANDYCOIFF","4.2","70","318 Bd de la Paix","Pau",,"FR","http://sandycoiff.free.fr/","+33 5 59 62 45 26","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SANDYCOIFF&query_place_id=ChIJowpR5K5IVg0RZ5RgSNo03Y8","Salon de coiffure"
"Le Studio by C","5","64","294 Bd de la Paix","Pau",,"FR",,"+33 5 59 40 16 87","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Le%20Studio%20by%20C&query_place_id=ChIJ2SG2n95JVg0R4XmIVfbCs7Q","Salon de coiffure"
"Interview Coiffure - Lons","4.6","401","21 Av. Didier Daurat","Lons",,"FR","https://www.interview.fr/salons/21-avenue-didier-daurat-64140-lons?utm_campaign=gbp_siteweb_W0044&utm_id=gbp_siteweb&utm_medium=siteweb&utm_source=gbp","+33 5 59 40 22 80","Salon de coiffure","Magasin d'articles de coiffure pour hommes","Institut de beauté","Magasin de produits de beauté","Industrie cosmétique","Magasin de cosmétiques",,,,,"https://www.google.com/maps/search/?api=1&query=Interview%20Coiffure%20-%20Lons&query_place_id=ChIJ24wr1lVPVg0RN93nUQZH8ss","Salon de coiffure"
"Jean Louis David - Coiffeur Pau","4.4","498","Av. Louis Sallenave C. Cial Leclerc","Pau",,"FR","https://www.jeanlouisdavid.com/salons/avenue-louis-sallenave-64000-pau?utm_campaign=gbp_siteweb_D10538&utm_id=gbp_siteweb&utm_medium=siteweb&utm_source=gbp","+33 5 59 14 75 75","Salon de coiffure","Magasin d'articles de coiffure pour hommes","Institut de beauté","Magasin de produits de beauté","Industrie cosmétique","Magasin de cosmétiques",,,,,"https://www.google.com/maps/search/?api=1&query=Jean%20Louis%20David%20-%20Coiffeur%20Pau&query_place_id=ChIJr3TlibtIVg0R-SB_fMaDd2Y","Salon de coiffure"
"Interview Coiffure - Pau","4.4","520","Av. Louis Sallenave","Pau",,"FR","https://www.interview.fr/salons/avenue-louis-sallenave-64000-pau?utm_campaign=gbp_siteweb_W0025&utm_id=gbp_siteweb&utm_medium=siteweb&utm_source=gbp","+33 5 59 84 42 41","Salon de coiffure","Magasin d'articles de coiffure pour hommes","Institut de beauté","Magasin de produits de beauté","Industrie cosmétique","Magasin de cosmétiques",,,,,"https://www.google.com/maps/search/?api=1&query=Interview%20Coiffure%20-%20Pau&query_place_id=ChIJ171IVbxIVg0REMRdVa56DYg","Salon de coiffure"
"Le salon par Aurélie Tiret PAU","4.7","81","196b Bd de la Paix","Pau",,"FR","https://www.planity.com/le-salon-par-aurelie-tiret-pau-64000","+33 9 52 24 86 18","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Le%20salon%20par%20Aur%C3%A9lie%20Tiret%20PAU&query_place_id=ChIJ8ycE0AlJVg0RFomVPetpXYQ","Salon de coiffure"
"LES RELOOKING DE MARTA","4.7","215","176 Av. Jean Mermoz","Pau",,"FR","http://www.lesrelookingdemarta.com/","+33 5 59 81 37 02","Salon de coiffure","Institut de beauté","Institut de massages","Styliste","Conseiller en image personnelle",,,,,,"https://www.google.com/maps/search/?api=1&query=LES%20RELOOKING%20DE%20MARTA&query_place_id=ChIJ11lKqZ1PVg0RJmRb_NuUuME","Salon de coiffure"
"DIAMAN'TIFF","4.8","35","résid Victoriannes, 181 Bd de la Paix A2","Pau",,"FR","https://www.planity.com/diamantiff-64000-pau","+33 5 59 80 00 88","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DIAMAN'TIFF&query_place_id=ChIJkelecJpIVg0RTADZeH9kyyQ","Salon de coiffure"
"Coiff&Co - Coiffeur Pau","4.3","511","Av. de l'Université","Pau",,"FR","https://www.coiffandco.com/salons/avenue-de-l-universite-64000-pau?utm_campaign=gbp_siteweb_F045&utm_id=gbp_siteweb&utm_medium=siteweb&utm_source=gbp","+33 5 59 30 93 46","Salon de coiffure","Magasin d'articles de coiffure pour hommes","Institut de beauté","Magasin de produits de beauté","Industrie cosmétique","Magasin de cosmétiques",,,,,"https://www.google.com/maps/search/?api=1&query=Coiff%26Co%20-%20Coiffeur%20Pau&query_place_id=ChIJeyHvObhIVg0RSkrKdfjuwcc","Salon de coiffure"
"L'art du cheveu","4.9","87","56 Av. Jean Mermoz","Pau",,"FR","https://lart-du-cheveu.jimdosite.com/","+33 5 59 71 46 20","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=L'art%20du%20cheveu&query_place_id=ChIJZ88zHeVPVg0RAiha4xrMMnk","Salon de coiffure"
"SALON NATHALIE B","4.9","76","83 Av. de Buros","Pau",,"FR",,"+33 6 28 93 83 70","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SALON%20NATHALIE%20B&query_place_id=ChIJyxqsypFIVg0RVGo-U7_3Vuk","Salon de coiffure"
"The Barber Company - Coiffeur Pau","4.1","168","42 Av. Louis Sallenave C. Cial Tempo","Pau",,"FR","https://thebarbercompany.fr/salons/42-avenue-louis-sallenave-64000-pau?utm_campaign=gbp_siteweb_R0106&utm_id=gbp_siteweb&utm_medium=siteweb&utm_source=gbp","+33 5 64 27 09 70","Barbier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Barber%20Company%20-%20Coiffeur%20Pau&query_place_id=ChIJuVe7SMtJVg0RVplZbShyjuc","Barbier"
"Paul et Virginie Coiffure Pau","5","222","6 Rue de Liège","Pau",,"FR","https://www.facebook.com/PauletVirginieCoiffurePau/","+33 6 26 32 24 23","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Paul%20et%20Virginie%20Coiffure%20Pau&query_place_id=ChIJh5J0prpJVg0RhbyTjE8-FdM","Salon de coiffure"
"Headspa.64","5","63","20 Chem. Larribau","Bizanos",,"FR",,"+33 6 34 15 12 44","Centre de bien-être",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Headspa.64&query_place_id=ChIJs2mTsNVPVg0R0ENdQ7FUTws","Centre de bien-être"
"L'Héritage Du Barbier - Pau","4.3","279","Auchan, 1 Av. du Général Leclerc","Pau",,"FR","https://www.lheritagedubarbier.fr/","+33 5 64 27 07 72","Salon de coiffure","Barbier","Institut de beauté","Boutique de cadeaux",,,,,,,"https://www.google.com/maps/search/?api=1&query=L'H%C3%A9ritage%20Du%20Barbier%20-%20Pau&query_place_id=ChIJgUjcgqBJVg0RshC4VtK9djI","Salon de coiffure"
"Stephan Coiffure","4.2","277","9 Avenue du Général Leclerc CCIAL AUCHAN","Pau",,"FR","https://www.planity.com/stephan-auchan-pau-64000","+33 5 59 80 17 76","Salon de coiffure","Barbier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stephan%20Coiffure&query_place_id=ChIJw85mQF9IVg0RxuM0rP1z838","Salon de coiffure"
"Beyu","5","22","20 Chem. Larribau","Bizanos",,"FR","https://www.planity.com/beyu-64000-pau","","Institut de beauté",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beyu&query_place_id=ChIJQ__CeLNJVg0RaFPzYwoQj60","Institut de beauté"
"Coiffure Sandrine Moreaux","4.8","65","38 Av. Vignancour","Pau",,"FR","https://www.sandrinemoreaux.fr/","+33 5 59 84 32 05","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Coiffure%20Sandrine%20Moreaux&query_place_id=ChIJg3mrKPRIVg0Rhs220fEMa6A","Salon de coiffure"
"COIFFURE ET ESTHETIQUE BELLEVUE","4.6","21","16 Av. du Général Leclerc","Pau",,"FR","http://www.coiffure-esthetique-bellevue.com/?utm_source=gmb","+33 5 59 30 20 23","Salon de coiffure","Institut de beauté",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=COIFFURE%20ET%20ESTHETIQUE%20BELLEVUE&query_place_id=ChIJza7WB_ZIVg0RuDGDDM4jy-Y","Salon de coiffure"
"Dermapure","4.2","75","2 All. des Hirondelles","Pau",,"FR","https://dermapure-pau.fr/","+33 6 38 78 48 86","Institut de beauté",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dermapure&query_place_id=ChIJrV-U0u5IVg0RMeCDIZZ2q9Q","Institut de beauté"
"En accord avec soi","4.6","43","150 Av. Alfred Nobel","Pau",,"FR",,"+33 5 59 84 67 64","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=En%20accord%20avec%20soi&query_place_id=ChIJ5_uokxNIVg0RXraG_WK0vVs","Salon de coiffure"
"Coco & Jojoba","5","34","Rituel Sport club, 4 Rue Johannes Kepler","Pau",,"FR","https://www.planity.com/coco-jojoba-64000-pau","+33 7 81 12 24 70","Institut de massages",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Coco%20%26%20Jojoba&query_place_id=ChIJFSsQw1TCbacReX5ApPIiM7s","Institut de massages"
"NO’ Barber","5","32","401 Bd de la Paix","Lons",,"FR","https://www.planity.com/nobarber-64140-lons","+33 9 86 71 78 09","Barbier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=NO%E2%80%99%20Barber&query_place_id=ChIJdxzoodRPVg0RLKNwQqT_lIU","Barbier"
"Plein Ciel Coiffure","4.9","44","4 Rue du Traquet","Pau",,"FR",,"+33 5 59 62 25 14","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plein%20Ciel%20Coiffure&query_place_id=ChIJW4Xjta1IVg0RW4Bc05dms3M","Salon de coiffure"
"onglerie m beauty","5","8","7 Av. du Bezet","Pau",,"FR",,"+33 6 01 33 63 85","Institut de beauté",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=onglerie%20m%20beauty&query_place_id=ChIJ6c9qaWBPVg0RpiIfM0VNnvA","Institut de beauté"
"MANITAS DEL SOL - Massages - soins holistiques","5","101","8 Av. du Général Leclerc","Pau",,"FR","https://manitasdelsol.wixsite.com/soinsholistiques","+33 6 12 58 17 65","Institut de massages","Massothérapeute","Thérapeute Reiki",,,,,,,,"https://www.google.com/maps/search/?api=1&query=MANITAS%20DEL%20SOL%20-%20Massages%20-%20soins%20holistiques&query_place_id=ChIJ85Imgr5IVg0RNofskI2tmlo","Institut de massages"
"Elixir Cut And Color","4.4","51","4 Rue Louis Blériot","Pau",,"FR",,"+33 5 59 02 84 89","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elixir%20Cut%20And%20Color&query_place_id=ChIJr7DKKvVIVg0RSV9wEPzHlVI","Salon de coiffure"
"Institut Guinot","4.8","77","1 Bd Tourasse","Pau",,"FR","https://www.institut-pau.guinot.com/","+33 5 59 02 61 74","Institut de beauté","Esthéticien","Magasin de produits de beauté","Magasin de cosmétiques","Institut de soins du visage","Salon d'épilation","Boutique de santé et beauté","Institut de massages","Institut de spa et bien-être","Service d'épilation à la cire","https://www.google.com/maps/search/?api=1&query=Institut%20Guinot&query_place_id=ChIJV87qkfJIVg0RhApK99ROvUM","Institut de beauté"
"Institut Cléopâtre","5","4","1rue Sambre et Meuse","Pau",,"FR",,"+33 5 59 83 74 89","Institut de beauté",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Institut%20Cl%C3%A9op%C3%A2tre&query_place_id=ChIJQdwguJNJVg0RzOtGerjR8Jg","Institut de beauté"
"L’Atelier Alex Bree Coiffure","4.7","34","38 Rue Berlioz","Pau",,"FR",,"+33 5 59 02 67 25","Salon de coiffure","Agriculteur",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=L%E2%80%99Atelier%20Alex%20Bree%20Coiffure&query_place_id=ChIJgcqJ3I1IVg0R2anuL-wTubo","Salon de coiffure"
